温馨提示,#genre#
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000512.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8




//======================================================


飞哥极速,#genre#

CCTV1,https://hyf000.eu.org/80947108/EDU1
CCTV2,https://hyf000.eu.org/80947108/EDU2
CCTV3,https://hyf000.eu.org/80947108/EDU3
CCTV4,https://hyf000.eu.org/80947108/EDU4
CCTV5,https://hyf000.eu.org/80947108/EDU5
CCTV6,https://hyf000.eu.org/80947108/EDU6
CCTV7,https://hyf000.eu.org/80947108/EDU7
CCTV8,https://hyf000.eu.org/80947108/EDU8
CCTV9,https://hyf000.eu.org/80947108/EDU9
CCTV10,https://hyf000.eu.org/80947108/EDU10
CCTV11,https://hyf000.eu.org/80947108/EDU11
CCTV12,https://hyf000.eu.org/80947108/EDU12
CCTV13,https://hyf000.eu.org/80947108/EDU13
CCTV14,https://hyf000.eu.org/80947108/EDU14
CGTN,https://hyf000.eu.org/80947108/EDU15
北京卫视,https://hyf000.eu.org/80947108/EDU16
北京文艺,https://hyf000.eu.org/80947108/EDU17
北京体育,https://hyf000.eu.org/80947108/EDU18
北京影视,https://hyf000.eu.org/80947108/EDU19
北京新闻,https://hyf000.eu.org/80947108/EDU20
北京纪实,https://hyf000.eu.org/80947108/EDU21
湖南卫视,https://hyf000.eu.org/80947108/EDU22
浙江卫视,https://hyf000.eu.org/80947108/EDU23
江苏卫视,https://hyf000.eu.org/80947108/EDU24
东方卫视,https://hyf000.eu.org/80947108/EDU25
安徽卫视,https://hyf000.eu.org/80947108/EDU26
黑龙江卫视,https://hyf000.eu.org/80947108/EDU27
辽宁卫视,https://hyf000.eu.org/80947108/EDU28
深圳卫视,https://hyf000.eu.org/80947108/EDU29
广东卫视,https://hyf000.eu.org/80947108/EDU30
天津卫视,https://hyf000.eu.org/80947108/EDU31
湖北卫视,https://hyf000.eu.org/80947108/EDU32
山东卫视,https://hyf000.eu.org/80947108/EDU33
重庆卫视,https://hyf000.eu.org/80947108/EDU34
上海纪实,https://hyf000.eu.org/80947108/EDU35
四川卫视,https://hyf000.eu.org/80947108/EDU36
金鹰纪实,https://hyf000.eu.org/80947108/EDU37
东南卫视,https://hyf000.eu.org/80947108/EDU38
河北卫视,https://hyf000.eu.org/80947108/EDU39
江西卫视,https://hyf000.eu.org/80947108/EDU40



//======================================================


飞哥酒店,#genre#

CCTV1,https://hyf000.eu.org/80947108/JD1-1
CCTV2,https://hyf000.eu.org/80947108/JD1-2
CCTV3,https://hyf000.eu.org/80947108/JD1-3
CCTV4,https://hyf000.eu.org/80947108/JD1-4
CCTV5,https://hyf000.eu.org/80947108/JD1-5
CCTV5+,https://hyf000.eu.org/80947108/JD1-6
CCTV6,https://hyf000.eu.org/80947108/JD1-7
CCTV7,https://hyf000.eu.org/80947108/JD1-8
CCTV8,https://hyf000.eu.org/80947108/JD1-9
CCTV9,https://hyf000.eu.org/80947108/JD1-10
CCTV10,https://hyf000.eu.org/80947108/JD1-11
CCTV11,https://hyf000.eu.org/80947108/JD1-12
CCTV12,https://hyf000.eu.org/80947108/JD1-13
浙江卫视,https://hyf000.eu.org/80947108/JD1-14
江苏卫视,https://hyf000.eu.org/80947108/JD1-15
东方卫视,https://hyf000.eu.org/80947108/JD1-16
安徽卫视,https://hyf000.eu.org/80947108/JD1-17
重庆卫视,https://hyf000.eu.org/80947108/JD1-18
四川卫视,https://hyf000.eu.org/80947108/JD1-19
天津卫视,https://hyf000.eu.org/80947108/JD1-20
北京卫视,https://hyf000.eu.org/80947108/JD1-21
青海卫视,https://hyf000.eu.org/80947108/JD1-22
辽宁卫视,https://hyf000.eu.org/80947108/JD1-23
江西卫视,https://hyf000.eu.org/80947108/JD1-24
甘肃卫视,https://hyf000.eu.org/80947108/JD1-25
广东卫视,https://hyf000.eu.org/80947108/JD1-26
吉林卫视,https://hyf000.eu.org/80947108/JD1-27
湖南卫视,https://hyf000.eu.org/80947108/JD1-28
湖北卫视,https://hyf000.eu.org/80947108/JD1-29
河北卫视,https://hyf000.eu.org/80947108/JD1-30
河南卫视,https://hyf000.eu.org/80947108/JD1-31

CCTV1,https://hyf000.eu.org/80947108/JD2-1
CCTV2,https://hyf000.eu.org/80947108/JD2-2
CCTV3,https://hyf000.eu.org/80947108/JD2-3
CCTV4,https://hyf000.eu.org/80947108/JD2-4
CCTV5,https://hyf000.eu.org/80947108/JD2-5
CCTV6,https://hyf000.eu.org/80947108/JD2-6
CCTV7,https://hyf000.eu.org/80947108/JD2-7
CCTV8,https://hyf000.eu.org/80947108/JD2-8
CCTV9,https://hyf000.eu.org/80947108/JD2-9
CCTV10,https://hyf000.eu.org/80947108/JD2-10
CCTV11,https://hyf000.eu.org/80947108/JD2-11
CCTV12,https://hyf000.eu.org/80947108/JD2-12
CCTV13,https://hyf000.eu.org/80947108/JD2-13
CCTV14,https://hyf000.eu.org/80947108/JD2-14
CCTV15,https://hyf000.eu.org/80947108/JD2-15
CCTV17,https://hyf000.eu.org/80947108/JD2-16
阜南新闻,https://hyf000.eu.org/80947108/JD2-17
阜阳新闻,https://hyf000.eu.org/80947108/JD2-18
阜阳公共,https://hyf000.eu.org/80947108/JD2-19
阜阳教育,https://hyf000.eu.org/80947108/JD2-20
安徽农业,https://hyf000.eu.org/80947108/JD2-21
安徽综艺,https://hyf000.eu.org/80947108/JD2-22
安徽公共,https://hyf000.eu.org/80947108/JD2-23
安徽影视,https://hyf000.eu.org/80947108/JD2-24
安徽经济生活,https://hyf000.eu.org/80947108/JD2-25
CCTV风云音乐,https://hyf000.eu.org/80947108/JD2-26
CCTV怀旧剧场,https://hyf000.eu.org/80947108/JD2-27
CCTV风云剧场,https://hyf000.eu.org/80947108/JD2-28
CCTV第一剧场,https://hyf000.eu.org/80947108/JD2-29
星影,https://hyf000.eu.org/80947108/JD2-30
梨园频道,https://hyf000.eu.org/80947108/JD2-31
金鹰卡通,https://hyf000.eu.org/80947108/JD2-32
优漫卡通,https://hyf000.eu.org/80947108/JD2-33
卡酷少儿,https://hyf000.eu.org/80947108/JD2-34
安徽卫视,https://hyf000.eu.org/80947108/JD2-35
河南卫视,https://hyf000.eu.org/80947108/JD2-36
北京卫视,https://hyf000.eu.org/80947108/JD2-37
上海卫视,https://hyf000.eu.org/80947108/JD2-38
天津卫视,https://hyf000.eu.org/80947108/JD2-39
重庆卫视,https://hyf000.eu.org/80947108/JD2-40
广东卫视,https://hyf000.eu.org/80947108/JD2-41
